Conference,URL
AAAI,http://www.wikicfp.com/cfp/program?id=3
ACL,http://www.wikicfp.com/cfp/program?id=37
AIED,http://www.wikicfp.com/cfp/program?id=102
CHI,http://www.wikicfp.com/cfp/program?id=435
CICLing,http://www.wikicfp.com/cfp/program?id=452
CIKM,http://www.wikicfp.com/cfp/program?id=462
COLING,http://www.wikicfp.com/cfp/program?id=533
CSCL,http://www.wikicfp.com/cfp/program?id=592
CSCW,http://www.wikicfp.com/cfp/program?id=594
EACL,http://www.wikicfp.com/cfp/program?id=785
EDM,http://www.wikicfp.com/cfp/program?id=833
EMNLP,http://www.wikicfp.com/cfp/program?id=883
ICDE,http://www.wikicfp.com/cfp/program?id=1331
ICDM,http://www.wikicfp.com/cfp/program?id=1337
ICML,http://www.wikicfp.com/cfp/program?id=1421
ICWSM,http://www.wikicfp.com/cfp/program?id=1513
IJCAI,http://www.wikicfp.com/cfp/program?id=1567
IJCNLP,http://www.wikicfp.com/cfp/program?id=1572
KDD,http://www.wikicfp.com/cfp/program?id=1901
LAK,http://www.wikicfp.com/cfp/program?id=1931
NAACL,http://www.wikicfp.com/cfp/program?id=2170
NIPS,http://www.wikicfp.com/cfp/program?id=2212
PAKDD,http://www.wikicfp.com/cfp/program?id=2299
PKDD,http://www.wikicfp.com/cfp/program?id=2367
SDM,http://www.wikicfp.com/cfp/program?id=2595
UAI,http://www.wikicfp.com/cfp/program?id=2888
UMAP,http://www.wikicfp.com/cfp/program?id=2904
WSDM,http://www.wikicfp.com/cfp/program?id=3158
WWW,http://www.wikicfp.com/cfp/program?id=3182